1,2,3,4,5,6,7,8,9,10,11,12
RB,,,,,,,,,32,"Evans, Darrynton 20/3",TEN
LWR,11,"JONES, JULIO 11/1",13,"Blake, Christian CF18",,,,,,,ATL
RWR,18,"Ridley, Calvin 18/1",80,"Treadwell, Laquon U/Min",,,,,,,ATL
WR,83,"Gage, Russell 18/6",15,"Powell, Brandon SF19",,,,,,,ATL
LT,70,"Matthews, Jake 14/1",73,"Gono, Matt CF18",,,,,,,ATL
LG,65,"McCray, Justin SF20",77,"CARPENTER, JAMES U/NYJ",,,,,,,ATL
C,61,"Hennessy, Matt 20/3",65,"McCray, Justin SF20",,,,,,,ATL
RG,63,"Lindstrom, Chris 19/1",,,,,,,,,ATL
RT,76,"McGary, Kaleb 19/1",73,"Gono, Matt CF18",75,"Wetzel, John SF19",,,,,ATL
TE,81,"Hurst, Hayden T/Bal",88,"STOCKER, LUKE U/Ten",87,"Graham, Jaeden CF18",,,,,ATL
QB,2,"RYAN, MATT 08/1",8,"SCHAUB, MATT U/Bal",,,,,,,ATL
RB,21,"Gurley, Todd CC/LAR",23,"Hill, Brian 17/5",25,"Smith, Ito 18/4",30,"Ollison, Qadree 19/5",,,ATL
FB,40,"Smith, Keith SF19",,,,,,,,,ATL
LWR,12,"Moore, DJ 18/1",10,"Samuel, Curtis 17/2",16,"Zylstra, Brandon W/Min",,,,,CAR
RWR,11,"Anderson, Robby U/NYJ",14,"Cooper, Pharoh U/Arz",,,,,,,CAR
LT,76,"OKUNG, RUSSELL T/LAC",63,"Kaskey, Matt SF19",,,,,,,CAR
LG,64,"Reed, Chris W/Mia",,,,,,,,,CAR
C,61,"PARADIS, MATT U/Den",69,"Larsen, Tyler SF16",,,,,,,CAR
RG,67,"Miller, John SF20",75,"SCHOFIELD, MICHAEL U/LAC",,,,,,,CAR
RT,72,"Moton, Taylor 17/2",,,,,,,,,CAR
TE,80,"Thomas, Ian 18/4",82,"Manhertz, Chris W/NO",86,"Thompson, Colin SF20",,,,,CAR
QB,5,"Bridgewater, Teddy U/NO",6,"Walker, P.J. SF20",7,"Grier, Will 19/3",,,,,CAR
RB,28,"Davis, Mike W/Chi",22,"McCaffrey, Christian 17/1",36,"Cannon, Trenton W/NYJ",38,"Hartsfield, Myles CF20",35,"Smith, Rodney CF20",CAR
FB,40,"Armah, Alex 17/6",,,,,,,,,CAR
LWR,80,"Carr, Austin W/NE",83,"Johnson, Juwan CF20",18,"Kumerow, Jake W/Buf",,,,,NO
RWR,17,"SANDERS, EMMANUEL U/SF",12,"Callaway, Marquez CF20",,,,,,,NO
LT,72,"Armstead, Terron 13/3",74,"Hurst, James CC/Bal",73,"Greenidge, Ethan CF19",,,,,NO
LG,75,"Peat, Andrus 15/1",,,,,,,,,NO
C,78,"McCoy, Erik 19/2",64,"Clapp, Will 18/7",,,,,,,NO
RG,62,"Easton, Nick U/Min",51,"Ruiz, Cesar 20/1",,,,,,,NO
RT,71,"Ramczyk, Ryan 17/1",68,"Kelly II, Derrick CF19",,,,,,,NO
TE,87,"COOK, JARED U/Oak",82,"Trautman, Adam 20/3",89,"HILL, JOSH CF13",,,,,NO
QB,9,"BREES, DREW U/SD",7,"HILL, TAYSOM W/GB",2,"Winston, Jameis U/TB",,,,,NO
RB,41,"Kamara, Alvin 17/3",28,"Murray, Latavius U/Min",88,"Montgomery, Ty U/NYJ",24,"Washington, Dwayne SF18",,,NO
FB,89,"HILL, JOSH CF13",32,"Burton, Mike U/Was",,,,,,,NO
LWR,18,"Johnson, Tyler 20/5",81,"BROWN, ANTONIO SF20",85,"Mickens, Jaydon SF19",,,,,TB
RWR,13,"Evans, Mike 14/1",17,"Watson, Justin 18/5",,,,,,,TB
SWR,14,"Godwin, Chris 17/3",10,"Miller, Scott 19/6",,,,,,,TB
LT,76,"Smith, Donovan 15/2",72,"Wells, Josh SF19",,,,,,,TB
LG,74,"Marpet, Ali 15/2",64,"Stinnie, Aaron W/Ten",,,,,,,TB
C,66,"Jensen, Ryan U/Bal",,,,,,,,,TB
RG,65,"Cappa, Alex 18/3",,,,,,,,,TB
RT,78,"Wirfs, Tristan 20/1",73,"Haeg, Joe U/Ind",,,,,,,TB
TE,84,"Brate, Cameron CF14",82,"Auclair, Antony CF17",,,,,,,TB
TE,87,"GRONKOWSKI, ROB T/NE",88,"Hudson, Tanner CF18",,,,,,,TB
QB,12,"BRADY, TOM U/NE",11,"GABBERT, BLAINE SF19",4,"GRIFFIN, RYAN W/NO",,,,,TB
RB,27,"Jones II, Ronald 18/2",30,"Vaughn, Ke'Shawn 20/3",,,,,,,TB
RB,28,"Fournette, Leonard W/Jax",25,"MCCOY, LESEAN U/KC",,,,,,,TB
LWR,81,"Patrick, Tim SF17",17,"Hamilton, DaeSean 18/4",16,"Cleveland, Tyrie 20/7",,,,,DEN
RWR,10,"Jeudy, Jerry 20/1",13,"Hamler, KJ 20/2",11,"Spencer, Diontae W/Pit",,,,,DEN
LT,72,"Bolles, Garett 17/1",76,"Anderson, Calvin P/NYJ",,,,,,,DEN
LG,66,"Risner, Dalton 19/2",71,"Schlottmann, Austin SF18",,,,,,,DEN
C,79,"Cushenberry III, Lloyd 20/3",,,,,,,,,DEN
RG,61,"Glasgow, Graham U/Det",52,"Muti, Netane 20/6",,,,,,,DEN
RT,78,"DOTSON, DEMAR SF20",68,"Wilkinson, Elijah CF17",,,,,,,DEN
TE,87,"Fant, Noah 19/1",88,"Vannett, Nick U/Pit",84,"Fumagalli, Troy 18/5",80,"Butt, Jake 17/5",,,DEN
QB,3,"Lock, Drew 19/2",4,"Rypien, Brett CF19",9,"Driskel, Jeff U/Det",,,,,DEN
RB,25,"Gordon, Melvin U/LAC",28,"Freeman, Royce 18/3",32,"Bellamy, LeVante CF20",,,,,DEN
FB,83,"Beck, Andrew W/NE",,,,,,,,,DEN
LWR,10,"Hill, Tyreek 16/5",13,"Pringle, Byron CF18",,,,,,,KC
RWR,14,"Watkins, Sammy U/LAR",,,,,,,,,KC
WR,11,"Robinson, Demarcus 16/4",17,"Hardman, Mecole 19/2",,,,,,,KC
LT,72,"FISHER, ERIC 13/1",,,,,,,,,KC
LG,73,"Allegretti, Nick 19/7",79,"Durant, Yasir CF20",,,,,,,KC
C,62,"Reiter, Austin W/Cle",67,"KILGORE, DANIEL SF20",73,"Allegretti, Nick 19/7",,,,,KC
RG,77,"Wylie, Andrew SF17",61,"WISNIEWSKI, STEFEN SF20",,,,,,,KC
RT,75,"REMMERS, MIKE U/NYG",74,"Rankin, Martinas T/Hou",,,,,,,KC
TE,87,"KELCE, TRAVIS 13/3",48,"Keizer, Nick SF19",83,"Seals-Jones, Ricky R/Cle",82,"Yelder, Deon CF18",,,KC
QB,15,"Mahomes II, Patrick 17/1",4,"HENNE, CHAD U/Jax",,,,,,,KC
RB,26,"Bell, Le'Veon SF20",31,"Williams, Darrel CF18",34,"Thompson, Darwin 19/6",25,"Edwards-Helaire, Clyde 20/1",,,KC
LWR,11,"Ruggs III, Henry 20/1",12,"Jones, Zay T/Buf",,,,,,,LV
RWR,15,"Agholor, Nelson U/Phi",89,"Edwards, Bryan 20/3",,,,,,,LV
SWR,13,"Renfrow, Hunter 19/5",,,,,,,,,LV
LT,74,"Miller, Kolton 18/1",75,"Parker, Brandon 18/3",,,,,,,LV
LG,71,"Good, Denzelle W/Ind",76,"Simpson, John 20/4",,,,,,,LV
C,61,"HUDSON, RODNEY U/KC",68,"James, Andre CF19",,,,,,,LV
RG,66,"Jackson, Gabe 14/3",,,,,,,,,LV
RT,70,"YOUNG, SAM SF20",77,"Brown, Trent U/NE",,,,,,,LV
TE,83,"Waller, Darren P/Bal",82,"WITTEN, JASON U/Dal",87,"Moreau, Foster 19/4",85,"CARRIER, DEREK U/LAR",,,LV
QB,4,"Carr, Derek 14/2",8,"Mariota, Marcus U/Ten",3,"Peterman, Nathan SF18",,,,,LV
RB,28,"Jacobs, Josh 19/1",23,"Booker, Devontae U/Den",35,"Riddick, Theo SF20",,,,,LV
FB,82,"WITTEN, JASON U/Dal",45,"Ingold, Alec CF19",,,,,,,LV
LWR,15,"Guyton, Jalen CF19",84,"Hill, KJ 20/7",,,,,,,LAC
RWR,81,"Williams, Mike 17/1",83,"Johnson, Tyron SF19",12,"Reed, Joe 20/5",,,,,LAC
LT,79,"Pipkins, Trey 19/3",74,"Norton, Storm SF20",69,"Tevi, Sam 17/6",64,"Toner, Cole SF17",,,LAC
LG,76,"Lamp, Forrest 17/2",61,"Quessenberry, Scott 18/5",,,,,,,LAC
C,66,"Feeney, Dan 17/3",61,"Quessenberry, Scott 18/5",,,,,,,LAC
RG,70,"Turner, Trai T/Car",73,"St. Louis, Tyree CF19",61,"Quessenberry, Scott 18/5",,,,,LAC
RT,75,"BULAGA, BRYAN U/GB",74,"Norton, Storm SF20",73,"St. Louis, Tyree CF19",,,,,LAC
TE,82,"Anderson, Stephen SF19",89,"Parham, Donald SF20",,,,,,,LAC
QB,10,"Herbert, Justin 20/1",5,"TAYLOR, TYROD U/Cle",2,"Stick, Easton 19/5",,,,,LAC
RB,30,"Ekeler, Austin CF17",22,"Jackson, Justin 18/7",27,"Kelley, Joshua 20/4",31,"Ballage, Kalen SF20",,,LAC
FB,40,"Nabers, Gabe CF20",,,,,,,,,LAC
LWR,13,"Kirk, Christian 18/2",19,"Johnson, KeeSean 19/6",,,,,,,ARZ
RWR,10,"Hopkins, DeAndre T/Hou",16,"Sherfield, Trent CF18",,,,,,,ARZ
SWR,11,"FITZGERALD, LARRY 04/1",17,"Isabella, Andy 19/2",,,,,,,ARZ
LT,74,"Humphries, DJ 15/1",79,"Jones, Josh 20/3",66,"Miles, Joshua 19/7",,,,,ARZ
LG,67,"PUGH, JUSTIN U/NYG",73,"Garcia, Max U/Den",,,,,,,ARZ
C,52,"Cole, Mason 18/3",53,"Gaillard, Lamont 19/6",,,,,,,ARZ
RG,64,"SWEEZY, JR U/Sea",71,"Murray, Justin W/Oak",,,,,,,ARZ
RT,68,"BEACHUM, KELVIN U/NYJ",71,"Murray, Justin W/Oak",,,,,,,ARZ
TE,85,"Arnold, Dan W/NO",87,"Williams, Maxx U/Bal",81,"Daniels, Darrell W/Sea",86,"DeValve, Seth SF20",,,ARZ
QB,1,"Murray, Kyler 19/1",15,"Streveler, Chris SF20",7,"Hundley, Brett U/Sea",,,,,ARZ
RB,41,"Drake, Kenyan T/Mia",29,"Edmonds, Chase 18/4",38,"Ward, Jonathan CF20",26,"Benjamin, Eno 20/7",37,"Foster, DJ P/NE",ARZ
LWR,11,"Aiyuk, Brandon 20/1",13,"James, Richie 18/7",86,"Cracraft, River SF20",,,,,SF
RWR,19,"Samuel, Deebo 19/2",84,"Bourne, Kendrick CF17",82,"Cole, Matt P/Mia",,,,,SF
LT,71,"WILLIAMS, TRENT T/Was",67,"Skule, Justin 19/6",,,,,,,SF
LG,75,"Tomlinson, Laken T/Det",68,"McKivitz, Colton 20/5",,,,,,,SF
C,60,"Brunskill, Daniel SF19",,,,,,,,,SF
RG,62,"BERGSTROM, TONY SF20",76,"Williams, Isaiah SF20",,,,,,,SF
RT,69,"McGlinchey, Mike 18/1",61,"Shepley, Dakoda SF20",,,,,,,SF
TE,85,"Kittle, George 17/5",89,"Woerner, Charlie 20/6",,,,,,,SF
TE,81,"REED, JORDAN SF20",82,"Dwelley, Ross CF18",,,,,,,SF
QB,3,"Beathard, CJ 17/3",2,"Rosen, Josh P/TB",,,,,,,SF
RB,30,"Wilson, Jeffery CF18",28,"McKinnon, Jerick U/Min",26,"Coleman, Tevin U/Atl",48,"Walter, Austin CF19",,,SF
FB,44,"Juszczyk, Kyle U/Bal",,,,,,,,,SF
LWR,14,"Metcalf, DK 19/2",,,,,,,,,SEA
RWR,16,"Lockett, Tyler 15/3",18,"Swain, Freddie 20/6",,,,,,,SEA
WR,83,"Moore, David 17/7",10,"Gordon, Josh W/NE",,,,,,,SEA
LT,76,"BROWN, DUANE T/Hou",74,"Ogbuehi, Cedric U/Jax",75,"Wheeler, Chad SF19",,,,,SEA
LG,70,"IUPATI, MIKE U/Arz",66,"Simmons, Jordan W/Oak",,,,,,,SEA
C,77,"Pocic, Ethan 17/2",61,"Fuller, Kyle SF19",,,,,,,SEA
RG,68,"Lewis, Damien 20/3",,,,,,,,,SEA
RT,72,"Shell, Brandon U/NYJ",,,,,,,,,SEA
TE,88,"OLSEN, GREG SF20",84,"Parkinson, Colby 20/4",,,,,,,SEA
TE,89,"Dissly, Will 18/4",86,"Hollister, Jacob T/NE",,,,,,,SEA
QB,3,"WILSON, RUSSELL 12/3",7,"SMITH, GENO U/LAC",,,,,,,SEA
RB,32,"Carson, Chris 17/7",30,"HYDE, CARLOS U/Hou",20,"Penny, Rashaad 18/1",31,"Dallas, DeeJay 20/4",,,SEA
FB,44,"BELLORE, NICK U/Det",,,,,,,,,SEA
LWR,17,"Woods, Robert U/Buf",14,"Webster, Nsimba CF19",,,,,,,LAR
RWR,11,"Reynolds, Josh 17/4",12,"Jefferson, Van 20/2",,,,,,,LAR
SWR,83,"Jackson, Trishton CF20",,,,,,,,,LAR
LT,70,"Noteboom, Joseph 18/3",72,"Anchrum, Tremayne 20/7",,,,,,,LAR
LG,73,"Edwards, David 19/5",65,"Shelton, Coleman P/Arz",,,,,,,LAR
C,66,"Blythe, Austin W/Ind",55,"Allen, Brian 18/4",,,,,,,LAR
RG,63,"Corbett, Austin T/Cle",64,"Demby, Jamil OG",,,,,,,LAR
RT,79,"Havenstein, Rob 15/2",71,"Evans, Bobby 19/3",,,,,,,LAR
TE,89,"Higbee, Tyler 16/4",81,"Everett, Gerald 17/2",82,"Mundt, Johnny CF17",88,"Hopkins, Brycen 20/4",,,LAR
QB,9,"Wolford, John SF19",19,"Bortles, Blake P/Den",16,"Goff, Jared 16/1",,,,,LAR
RB,34,"Brown, Malcolm CF15",35,"Jones, Xavier CF20",30,"Calais, Raymond P/TB",23,"Akers, Cam 20/2",,,LAR
LWR,18,"ROBERTS, ANDRE U/NYJ",,,,,,,,,BUF
RWR,14,"Diggs, Stefon T/Min",13,"Davis, Gabriel 20/4",,,,,,,BUF
SWR,11,"BEASLEY, COLE U/Dal",19,"McKenzie, Isaiah W/Den",,,,,,,BUF
LT,73,"Dawkins, Dion 17/2",77,"NSEKHE, TY U/Was",71,"Bates, Ryan T/Phi",,,,,BUF
LG,76,"Feliciano, Jon U/LV",,,,,,,,,BUF
C,60,"Morse, Mitch U/KC",71,"Bates, Ryan T/Phi",,,,,,,BUF
RG,66,"Winters, Brian SF20",65,"Boettger, Ike W/KC",,,,,,,BUF
RT,75,"Williams, Daryl U/Car",77,"NSEKHE, TY U/Was",,,,,,,BUF
TE,88,"Knox, Dawson 19/3",85,"SMITH, LEE SF19",86,"Gilliam, Reggie CF20",81,"Kroft, Tyler U/Cin",,,BUF
QB,17,"Allen, Josh 18/1",5,"BARKLEY, MATT SF18",10,"Fromm, Jake 20/5",,,,,BUF
RB,26,"Singletary, Devin 19/3",20,"Moss, Zack 20/3",22,"Yeldon, TJ U/Jax",25,"JONES, TAIWAN U/Hou",,,BUF
FB,86,"Gilliam, Reggie CF20",,,,,,,,,BUF
LWR,11,"Parker, DeVante 15/1",86,"Hollins, Mack W/Phi",15,"Bowden Jr., Lynn T/LV",,,,,MIA
RWR,19,"Grant, Jakeem 16/6",10,"Perry, Malcolm 20/7",16,"Callaway, Antonio SF20",,,,,MIA
LT,73,"Jackson, Austin 20/1",70,"Davenport, Julie'n T/Hou",,,,,,,MIA
LG,75,"Flowers, Ereck U/Was",,,,,,,,,MIA
C,67,"Karras, Ted U/NE",63,"Deiter, Michael 19/3",,,,,,,MIA
RG,66,"Kindley, Solomon 20/4",78,"Pankey, Adam W/GB",,,,,,,MIA
RT,77,"Davis, Jesse SF16",68,"Hunt, Robert 20/2",,,,,,,MIA
TE,81,"Smythe, Durham 18/4",88,"Gesicki, Mike 18/2",80,"Shaheen, Adam T/CHI",,,,,MIA
QB,1,"Tagovailoa, Tua 20/1",14,"FITZPATRICK, RYAN U/TB",,,,,,,MIA
RB,26,"Ahmed, Salvon W/SF",22,"Breida, Matt T/SF",31,"Washington, DeAndre T/KC",32,"Laird, Patrick CF19",,,MIA
FB,27,"Cox, Chandler 19/7",,,,,,,,,MIA
LWR,15,"Harry, N'Keal 19/1",16,"Meyers, Jakobi CF19",18,"SLATER, MATTHEW 08/5",,,,,NE
RWR,10,"Byrd, Damiere U/Arz",80,"Olszewski, Gunner CF19",84,"Ford, Isaiah T/Mia",,,,,NE
LT,72,"Eluemunor, Jermaine T/Bal",75,"Herron, Justin 20/6",,,,,,,NE
LG,62,"Thuney, Joe 16/3",,,,,,,,,NE
C,60,"Andrews, David CF15",66,"FERENTZ, JAMES SF17",,,,,,,NE
RG,69,"Mason, Shaquille 15/4",,,,,,,,,NE
RT,71,"Onwenu, Michael 20/6",74,"Cunningham, Korey T/Arz",,,,,,,NE
TE,85,"Izzo, Ryan 18/7",83,"Thomas, Jordan W/Arz",,,,,,,NE
QB,1,"NEWTON, CAM CC/Car",4,"Stidham, Jarrett 19/4",2,"HOYER, BRIAN CC/Ind",,,,,NE
RB,37,"Harris, Damien 19/3",26,"Michel, Sony 18/1",,,,,,,NE
RB,28,"White, James 14/4",47,"Johnson, Jakob SF19",42,"Taylor, JJ CF20",,,,,NE
LWR,19,"Perriman, Breshad U/TB",17,"Smith, Vyncint CF18",,,,,,,NYJ
RWR,11,"Mims, Denzel 20/2",16,"Smith, Jeff CF19",,,,,,,NYJ
SWR,82,"Crowder, Jamison U/Was",10,"Berrios, Braxton W/NE",,,,,,,NYJ
LT,77,"Becton, Mekhi 20/1",75,"Edoga, Chuma 19/3",,,,,,,NYJ
LG,71,"Lewis, Alex T/Bal",72,"Clark, Cameron 20/4",,,,,,,NYJ
C,60,"McGovern, Connor U/Den",68,"Andrews, Josh U/Ind",61,"Murray, James SF19",,,,,NYJ
RG,62,"VAN ROTEN, GREG U/Car",67,"Elflein, Pat W/Min",69,"McDermott, Conor W/Buf",,,,,NYJ
RT,76,"Fant, George U/Sea",75,"Edoga, Chuma 19/3",,,,,,,NYJ
TE,89,"Herndon, Christopher 18/4",84,"GRIFFIN, RYAN SF19",87,"Brown, Daniel U/Chi",43,"Travis, Ross W/Ind",,,NYJ
QB,5,"FLACCO, JOE CC/Den",4,"Morgan, James 20/4",14,"Darnold, Sam 18/1",,,,,NYJ
RB,21,"GORE, FRANK U/Buf",25,"Johnson, Ty W/Det",36,"Adams, Josh SF19",,,,,NYJ
LWR,19,"Cooper, Amari T/Oak",85,"Brown, Noah 17/7",,,,,,,DAL
RWR,13,"Gallup, Michael 18/3",11,"Wilson, Cedrick 18/6",,,,,,,DAL
WR,88,"Lamb, CeeDee 20/1",17,"Turner, Malik W/GB",,,,,,,DAL
LT,75,"Erving, Cameron U/KC",64,"Senat, Greg P/Cle",,,,,,,DAL
LG,52,"Williams, Connor 18/2",66,"McGovern, Connor 19/3",,,,,,,DAL
C,73,"LOONEY, JOE U/Ten",61,"Redmond, Adam W/Buf",,,,,,,DAL
RG,66,"McGovern, Connor 19/3",,,,,,,,,DAL
RT,70,"MARTIN, ZACK 14/1",78,"Steele, Terence CF20",69,"Knight, Brandon CF19",,,,,DAL
TE,86,"Schultz, Dalton 18/4",80,"Bell, Blake U/KC",84,"McKeon, Sean CF20",,,,,DAL
QB,14,"DALTON, ANDY SF20/EX",3,"Gilbert, Garrett P/Cle",7,"DiNucci, Ben 20/7",,,,,DAL
RB,21,"Elliott, Ezekiel 16/1",20,"Pollard, Tony 19/4",34,"Dowdle, Rico CF20",,,,,DAL
LWR,86,"Slayton, Darius 19/5",00,"Pettis, Dante W/SF",81,"Mack, Austin CF20",,,,,NYG
RWR,87,"Shepard, Sterling 16/2",15,"TATE, GOLDEN U/Phi",18,"Board, CJ W/Jax",,,,,NYG
LT,78,"Thomas, Andrew 20/1",72,"Barton, Jackson W/KC",,,,,,,NYG
LG,71,"Hernandez, Will 18/2",66,"Lemieux, Shane 20/5",,,,,,,NYG
C,65,"Gates, Nick CF18",77,"Pulley, Spencer W/LAC",,,,,,,NYG
RG,70,"ZEITLER, KEVIN T/CLE",60,"Murphy, Kyle CF20",,,,,,,NYG
RT,75,"Fleming, Cameron U/Dal",74,"Peart, Matt 20/3",,,,,,,NYG
TE,88,"Engram, Evan 17/1",85,"Toilolo, Levine U/SF",82,"Smith, Kaden W/SF",,,,,NYG
QB,8,"Jones, Daniel 19/1",12,"MCCOY, COLT U/Was",,,,,,,NYG
RB,22,"Gallman, Wayne 17/4",33,"LEWIS, DION CC/Ten",41,"MORRIS, ALFRED SF20",,,,,NYG
FB,39,"Penny, Elijhaa P/Arz",,,,,,,,,NYG
LWR,13,"Fulgham, Travis W/GB",80,"Watkins, Quez 20/6",17,"JEFFERY, ALSHON U/Chi",,,,,PHI
RWR,18,"Reagor, Jalen 20/1",82,"Hightower, John 20/5",,,,,,,PHI
SWR,84,"Ward Jr., Greg CF17",,,,,,,,,PHI
LT,71,"PETERS, JASON T/Buf",68,"Mailata, Jordan 18/7",64,"Toth, Brett W/Arz",,,,,PHI
LG,69,"Pryor, Matt 18/6",73,"Seumalo, Isaac 16/3",,,,,,,PHI
C,62,"KELCE, JASON 11/6",74,"Juriga, Luke CF20",,,,,,,PHI
RG,67,"Herbig, Nate CF19",,,,,,,,,PHI
RT,68,"Mailata, Jordan 18/7",65,"JOHNSON, LANE 13/1",63,"Driscoll, Jack 20/4",,,,,PHI
TE,88,"Goedert, Dallas 18/2",85,"Rodgers, Richard SF20",,,,,,,PHI
QB,11,"Wentz, Carson 16/1",7,"Sudfeld, Nate SF17",2,"Hurts, Jalen 20/2",,,,,PHI
RB,26,"Sanders, Miles 19/2",35,"Scott, Boston P/NO",30,"Clement, Corey CF17",32,"Huntley, Jason W/Det",,,PHI
LWR,17,"McLaurin, Terry 19/3",16,"Foster, Robert P/GB",,,,,,,WAS
RWR,83,"Wright, Isaiah CF20",15,"Sims Jr., Steven CF19",,,,,,,WAS
SWR,80,"INMAN, DONTRELLE SF20",89,"Sims, Cam CF18",84,"Badet, Jeff SF20",,,,,WAS
LT,78,"Lucas, Cornelius U/Chi",,,,,,,,,WAS
LG,71,"Schweitzer, Wes U/Atl",67,"Martin, Wes 19/4",,,,,,,WAS
C,73,"Roullier, Chase 17/6",60,"Ismael, Keith 20/5",,,,,,,WAS
RG,75,"Scherff, Brandon 15/1",,,,,,,,,WAS
RT,76,"Moses, Morgan 14/3",72,"Sharpe, David T/LV",,,,,,,WAS
TE,82,"Thomas, Logan U/Det",87,"Sprinkle, Jeremy 17/5",88,"Hemingway, Temarrick SF20",,,,,WAS
QB,11,"SMITH, ALEX T/KC",7,"Haskins, Dwayne 19/1",,,,,,,WAS
RB,34,"Barber, Peyton U/TB",24,"Gibson, Antonio 20/3",41,"McKissic, JD U/Det",,,,,WAS
LWR,15,"Brown, Marquise 19/1",88,"BRYANT, DEZ SF20",,,,,,,BAL
RWR,80,"Boykin, Miles 19/3",11,"Proche II, James 20/6",,,,,,,BAL
SWR,13,"Duvernay, Devin 20/3",,,,,,,,,BAL
LT,78,"Brown, Orlando 18/3",,,,,,,,,BAL
LG,77,"Bozeman, Bradley 18/6",72,"Powers, Ben 19/4",67,"Bredeson, Ben 20/4",,,,,BAL
C,63,"Colon-Castillo, Trystan CF20",,,,,,,,,BAL
RG,74,"Phillips, Tyre 20/3",70,"Fluker, DJ SF20",,,,,,,BAL
RT,00,"Rodgers, Jake W/Den",,,,,,,,,BAL
TE,,,,,,,,,,,BAL
QB,3,"GRIFFIN III, ROBERT SF18",7,"McSorley, Trace 19/6",,,,,,,BAL
RB,35,"Edwards, Gus CF18",43,"Hill, Justice 19/4",,,,,,,BAL
FB,,,,,,,,,,,BAL
LWR,18,"GREEN, AJ 11/1",80,"Thomas, Mike U/LAR",,,,,,,CIN
RWR,85,"Higgins, Tee 20/2",12,"Erickson, Alex CF16",,,,,,,CIN
SWR,83,"Boyd, Tyler 16/2",19,"Tate, Auden 18/7",,,,,,,CIN
LT,73,"Williams, Jonah 19/1",77,"Adeniji, Hakeem 20/6",,,,,,,CIN
LG,60,"Jordan, Michael 19/4",67,"Spain, Quinton SF20",,,,,,,CIN
C,66,"Hopkins, Trey CF14",53,"Price, Billy 18/1",61,"Finney, BJ T/Sea",,,,,CIN
RG,62,"Redmond, Alex CF16",65,"Sutherland, Keaton CF19",,,,,,,CIN
RT,68,"Hart, Bobby SF18",74,"Johnson, Fred W/Pit",,,,,,,CIN
TE,89,"Sample, Drew 19/2",82,"Carter, Cethan CF17",86,"Schreck, Mason 17/7",,,,,CIN
QB,5,"Finley, Ryan 19/4",8,"Allen, Brandon SF20",,,,,,,CIN
RB,25,"Bernard, Giovani 13/2",34,"Perine, Samaje W/Mia",32,"Williams, Trayveon 19/6",,,,,CIN
LWR,80,"Landry, Jarvis T/Mia",11,"Peoples-Jones, Donovan 20/6",12,"Hodge, KhaDarel W/LAR",,,,,CLE
RWR,82,"Higgins, Rashard 16/5",10,"Taylor, Taywan T/Ten",,,,,,,CLE
LT,71,"Wills Jr., Jedrick 20/1",70,"Lamm, Kendall U/Hou",,,,,,,CLE
LG,75,"Bitonio, Joel 14/2",,,,,,,,,CLE
C,64,"Tretter, JC U/GB",53,"Harris, Nick 20/5",,,,,,,CLE
RG,77,"Teller, Wyatt T/Buf",,,,,,,,,CLE
RT,78,"Conklin, Jack U/Ten",74,"Hubbard, Chris U/Pit",,,,,,,CLE
TE,81,"Hooper, Austin U/Atl",85,"Njoku, David 17/1",,,,,,,CLE
TE,88,"Bryant, Harrison 20/4",89,"Carlson, Stephen CF19",,,,,,,CLE
QB,6,"Mayfield, Baker 18/1",5,"KEENUM, CASE U/Was",,,,,,,CLE
RB,24,"Chubb, Nick 18/2",27,"Hunt, Kareem SF19",30,"Johnson, D'Ernest SF19",25,"Hilliard, Dontrell CF18",,,CLE
FB,31,"Janovich, Andy T/Den",,,,,,,,,CLE
LWR,19,"Smith-Schuster, JuJu 17/2",11,"Claypool, Chase 20/2",14,"McCloud, Ray-Ray SF20",,,,,PIT
RWR,18,"Johnson, Diontae 19/3",13,"Washington, James 18/2",,,,,,,PIT
LT,78,"VILLANUEVA, ALEJANDRO SF14",76,"Okorafor, Chukwuma 18/3",,,,,,,PIT
LG,71,"Feiler, Matt SF15",77,"Gray, Derwin 19/7",,,,,,,PIT
C,53,"POUNCEY, MAURKICE 10/1",60,"Hassenauer, JC SF19",,,,,,,PIT
RG,66,"DECASTRO, DAVID 12/1",69,"Dotson, Kevin 20/4",,,,,,,PIT
RT,76,"Okorafor, Chukwuma 18/3",,,,,,,,,PIT
TE,89,"MCDONALD, VANCE T/SF/EX",85,"Ebron, Eric U/Ind",87,"Rader, Kevin SF19",,,,,PIT
QB,7,"ROETHLISBERGER, BEN 04/1",2,"Rudolph, Mason 18/3",5,"Dobbs, Joshua W/Jax",,,,,PIT
RB,24,"Snell Jr., Benny 19/4",26,"McFarland Jr., Anthony 20/4",,,,,,,PIT
FB,44,"Watt, Derek U/LAC",38,"Samuels, Jaylen 18/5",,,,,,,PIT
LWR,12,"Robinson, Allen U/Jax",84,"Patterson, Cordarrelle U/NE",83,"Wims, Javon 18/7",,,,,CHI
RWR,11,"Mooney, Darnell 20/5",88,"Ridley, Riley 19/4",,,,,,,CHI
SWR,17,"Miller, Anthony 18/2",19,"Carter, DeAndre W/Hou",,,,,,,CHI
LT,72,"Leno Jr., Charles 14/7",78,"Spriggs, Jason U/GB",,,,,,,CHI
LG,65,"Whitehair, Cody 16/2",64,"Bars, Alex CF19",71,"Hambright, Arlington 20/7",,,,,CHI
C,67,"Mustipher, Sam CF19",,,,,,,,,CHI
